,doc_id,doc_x,doc_y,genre
9789461994028,9789461994028,7.6557846,14.686785,romance
9789402543353,9789402543353,7.0309534,10.605308,historical novel (popular)
9789461704689,9789461704689,6.080397,14.43304,romance
9789402528244,9789402528244,5.680296,14.371333,romance
9789402516661,9789402516661,5.8734603,13.374433,romance
9789461709851,9789461709851,8.936659,14.894439,romance
9789402750409,9789402750409,-2.539023,8.036191,Young adult fiction
9789025871529,9789025871529,10.064368,7.091203,unknown
9789402756395,9789402756395,6.112404,13.115613,unknown
9789029591133,9789029591133,11.021455,5.5866284,"Dutch literary novel, novella"
9789044963694,9789044963694,6.882093,5.126696,literary thriller
9789402528480,9789402528480,7.3463106,11.014282,historical novel (popular)
9789402525342,9789402525342,8.86849,14.935747,romance
9789402525212,9789402525212,10.265233,11.916844,suspense pocket
9789021446196,9789021446196,11.611768,5.383229,"Dutch literary novel, novella"
9789402535877,9789402535877,9.990598,15.344432,romance
9789461990334,9789461990334,8.765663,15.184695,romance
9789029572521,9789029572521,8.678322,5.315891,literary thriller
9789044627367,9789044627367,6.886065,5.2014523,literary thriller
9789044976014,9789044976014,16.18629,17.593466,Young adult fiction
9789044974300,9789044974300,11.016109,10.405591,thriller
9789044976144,9789044976144,6.741245,5.112364,thriller
9789402755732,9789402755732,10.0315,11.578215,thriller
9789402757576,9789402757576,7.691392,16.980919,romance
9789025862565,9789025862565,14.897129,6.1521244,unknown
9789461703132,9789461703132,7.174167,14.296845,romance
9789402529333,9789402529333,9.654637,14.130021,romance
9789025862435,9789025862435,11.259859,6.667971,unknown
9789402540130,9789402540130,10.294076,11.928397,suspense pocket
9789402518290,9789402518290,7.810924,13.836965,romance
9789461993793,9789461993793,6.710689,14.885315,romance
9789401605670,9789401605670,9.850471,9.3434925,"translated literary novel, novella"
9789025874186,9789025874186,9.545424,10.045298,Young adult fiction
9789461703828,9789461703828,7.9034343,12.927448,romance
9789044969863,9789044969863,12.52138,6.009826,unknown
9789402758764,9789402758764,9.506693,7.193064,"translated literary novel, novella"
9789402532012,9789402532012,10.304612,14.813297,romance
9789402532142,9789402532142,8.9671545,13.933022,romance
9789021435657,9789021435657,10.998009,4.714425,"Dutch literary novel, novella"
9789029590044,9789029590044,10.795683,3.767571,"Dutch literary novel, novella"
9789029582865,9789029582865,12.185113,5.3032165,"Dutch literary novel, novella"
9789038891392,9789038891392,12.115593,5.362405,"Dutch literary novel, novella"
9789044966442,9789044966442,10.684986,8.565757,thriller
9789461998620,9789461998620,8.773922,13.8847685,romance
9789025874971,9789025874971,14.203476,6.4203053,unknown
9789402526608,9789402526608,5.7870655,14.292973,romance
9789460412172,9789460412172,9.881931,5.6858335,Young adult fiction
9789402508796,9789402508796,10.861985,8.309164,unknown
9789402751307,9789402751307,10.231753,10.06707,literary thriller
9789461997562,9789461997562,10.35962,10.352319,unknown
9789044631739,9789044631739,10.98239,6.340961,unknown
9789461997432,9789461997432,6.5873513,13.8518,romance
9789021443584,9789021443584,11.125081,4.6502852,"Dutch literary novel, novella"
9789401601245,9789401601245,11.65083,7.5179167,popular fiction general
9789021438078,9789021438078,7.04652,5.137228,literary thriller
9789402507584,9789402507584,8.156213,15.288888,romance
9789044628098,9789044628098,11.83568,3.9048493,unknown
9789048724772,9789048724772,14.776915,6.480926,unknown
9789460400049,9789460400049,12.020143,7.2545843,unknown
9789402536577,9789402536577,6.053425,14.5907135,romance
9789402534733,9789402534733,10.411513,13.528299,romance
9789029594226,9789029594226,9.7875395,6.5730376,"translated literary novel, novella"
9789402755992,9789402755992,12.222249,9.000232,Young adult fiction
9789402532876,9789402532876,9.229788,13.430295,romance
9789461997265,9789461997265,9.716688,15.246176,romance
9789402536270,9789402536270,9.40266,13.068934,romance
9789029582001,9789029582001,10.892748,4.6063323,"Dutch literary novel, novella"
9789029579551,9789029579551,9.136612,9.597181,"translated literary novel, novella"
9789402753080,9789402753080,12.171401,5.184896,"Dutch literary novel, novella"
9789035140455,9789035140455,10.800275,6.3548203,unknown
9789461708786,9789461708786,8.586558,12.6439,romance
9789025369040,9789025369040,9.849866,6.2089634,"translated literary novel, novella"
9789402758894,9789402758894,10.865461,11.1601095,unknown
